Year,United States,Luxembourg,Switzerland,Canada,Norway,Mozambique,Madagascar,Sierra Leone,Afghanistan,Central African Republic
1996,78.28779109,55.04767671,72.19617286,78.86619425,82.73615635,107.8728424,94.48314607,96.08470445,19.40089229,80.91697646
1997,78.94312223,57.20624235,72.6531652,79.26964732,82.81401468,107.9935356,94.4413251,96.05603776,19.1925624,80.98783817
1998,79.10327185,57.66055046,74.18038015,80.20297511,83.92587509,107.0095753,94.41077441,96.37780834,19.04822497,81.08141703
1999,79.393531,61.04534973,74.67366266,80.62058457,84.41773726,106.3138686,94.37962755,96.54116927,18.94469167,81.22042341
2000,79.54177898,62.72548128,74.39824945,81.32279534,84.06095552,105.8645707,94.3696725,96.7771639,18.86672596,81.38171842
2001,79.82622862,63.21450522,76.26197256,81.86363005,84.85099338,105.5649241,94.34977578,96.51322832,19.04701398,81.23832067
2002,80.08474576,64.29980276,77.48206132,82.65053616,86.61111111,105.3719505,94.25660546,97.32901034,19.2908883,81.17837569
2003,80.65406375,65.879795,77.76037588,83.55883559,86.10561988,105.2581032,94.30939845,97.63047855,19.54008385,81.12009956
2004,80.51786209,68.95211443,78.14849004,83.9868385,86.85219367,104.7607598,94.35104237,97.05749208,19.7968254,81.15346288
2005,80.70953437,70.1933488,79.25383078,83.96252411,86.35846373,104.2143287,94.40269209,97.0673591,20.02283974,81.1760309
2006,80.70005534,72.73435067,79.50112777,84.87243483,86.60422875,103.6308806,94.78736466,97.0474571,19.7515213,80.95178926
2007,80.92790665,73.8774224,79.35586061,85.54649717,87.65885343,103.0226091,95.10054438,97.02706932,19.48315176,80.77113811
2008,81.45464679,74.11616162,81.51193634,85.41322314,88.22544643,102.3878788,95.3534683,97.00665188,19.27558257,80.63118812
2009,82.18829517,73.81565007,81.96198325,86.23763755,89.02317645,101.7264438,95.55824975,96.95464017,19.17617237,80.60163407
2010,82.26037196,74.69787364,80.65948856,86.60976634,88.70064609,101.0614934,95.70471273,96.93380921,19.21513843,80.664353
2011,82.11452474,76.6521874,81.21147146,86.44139091,89.60604739,100.355218,95.82965578,96.88013136,19.67129571,80.27404024
2012,81.64174813,78.198834,81.93062651,86.89587149,89.26242574,99.64316476,95.97471723,96.82566063,20.26595065,79.98275437
2013,81.62703016,77.9829112,82.68556005,87.1805732,89.94739918,98.88710276,95.14714048,96.80349933,21.62754707,79.63030971
2014,81.88849971,78.65355522,83.68861306,86.73946958,90.11457109,98.09772473,94.21386447,96.79727428,23.07792377,79.5270767
2015,81.62549335,82.18505447,84.07437348,86.28757799,89.62443373,97.26078799,93.1934836,96.15773509,24.61942257,79.52340007
2016,81.69219548,82.05007825,84.52029024,86.76638177,89.71260133,97.47804266,93.36317851,96.78293261,26.28510864,79.83950617
2017,82.24299065,84.94165878,84.25726588,87.17034925,90.08820451,97.73328296,93.54657688,97.36528982,28.05726519,80.23096982
2018,82.36926673,85.99497014,85.02702703,87.55204594,89.70020778,98.02731411,93.71062106,97.95221843,28.6250335,80.675
2019,82.75258784,83.86304314,85.70649952,87.1542629,89.74966672,98.31153993,93.87547936,98.74699622,29.20021471,81.14537445
