Year,United States,Norway,Switzerland,Luxembourg,Canada
1997,2.361999989,1.09800005,8.215000153,3.440999985,3.193000078
1998,2.34800005,0.9670000076,7.949999809,2.638000011,3.154999971
1999,2.309000015,1.019000053,7.84100008,4.089000225,3.193000078
2000,2.24000001,1.001000047,7.84800005,3.854000092,3.273999929
2001,2.194000006,0.9449999928,3.697000027,2.365999937,2.938999891
2002,2.276000023,0.8289999962,3.637000084,2.500999928,2.959000111
2003,2.253999949,0.8939999938,3.572999954,0.90200001,2.874000072
2004,2.207999945,0.976000011,3.257999897,1.705000043,2.967999935
2005,2.147000074,0.9369999766,3.260999918,1.633000016,3.061000109
2006,2.084000111,1.149000049,3.131000042,1.445000052,3.048000097
2007,2.049000025,1.284999967,3.33100009,1.763000011,2.855999947
2008,2.023000002,1.225999951,3.282999992,1.353000045,2.84800005
2009,2.09100008,1.18900001,3.194000006,1.393000007,2.767999887
2010,2.223999977,1.11500001,3.506000042,1.776000023,2.703000069
2011,2.142999887,0.996999979,3.217999935,1.514999986,2.789999962
2012,2.155999899,0.9739999771,3.303999901,1.856999993,2.61500001
2013,2.092999935,1.049000025,3.436000109,1.830000043,2.640000105
2014,2.104000092,0.7940000296,3.371999979,1.222000003,2.619999886
2015,2.150000095,0.8339999914,3.335000038,2.33100009,2.714999914
2016,2.150000095,0.9089999795,3.463000059,2.588000059,2.624000072
